city,model,sample_index,target_node,tod_band,congestion,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk,cited_locations,resolution_methods,resolved_set_sizes
metr_la,mock2,4289,16,night,low,A,,1.0,0.25,0.4,0.0,,2,8,,,
metr_la,mock2,4289,16,night,low,B,,0.0,0.0,0.0,1.0,,1,8,,,
metr_la,mock2,5464,54,night,low,A,,1.0,0.25,0.4,0.0,,2,8,,,
metr_la,mock2,5464,54,night,low,B,,0.0,0.0,0.0,1.0,,1,8,,,
metr_la,mock2,6643,51,night,low,A,,1.0,0.25,0.4,0.0,,2,8,,,
metr_la,mock2,6643,51,night,low,B,,0.0,0.0,0.0,1.0,,1,8,,,
metr_la,mock2,4289,16,night,low,RANDOM_node,,0.0525,0.013125,0.021000000000000005,0.9475,,2,8,[],[],[]
metr_la,mock2,5464,54,night,low,RANDOM_node,,0.035,0.00875,0.014000000000000002,0.965,,2,8,[],[],[]
metr_la,mock2,6643,51,night,low,RANDOM_node,,0.035,0.00875,0.013999999999999999,0.965,,2,8,[],[],[]
metr_la,mock2,4289,16,night,low,RANDOM_region,,0.2725,0.174375,0.203049173049173,0.7275,,2,8,[],[],[]
metr_la,mock2,5464,54,night,low,RANDOM_region,,0.3775,0.185625,0.2335109335109337,0.6225,,2,8,[],[],[]
metr_la,mock2,6643,51,night,low,RANDOM_region,,0.29,0.185625,0.21507620157620164,0.71,,2,8,[],[],[]
metr_la,mock2,4289,16,night,low,RANDOM_target_region,,0.0,0.0,0.0,1.0,,2,8,[],[],[]
metr_la,mock2,5464,54,night,low,RANDOM_target_region,,0.0,0.0,0.0,1.0,,2,8,[],[],[]
metr_la,mock2,6643,51,night,low,RANDOM_target_region,,1.0,0.375,0.5454545454545454,0.0,,2,8,[],[],[]
