city,model,sample_index,target_node,tod_band,congestion,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk
metr_la,llama3.1:8b,4289,16,night,low,A,,1.0,0.5,0.6666666666666666,0.0,0.75,3,8
metr_la,llama3.1:8b,4289,16,night,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,llama3.1:8b,4289,16,night,low,C,,1.0,0.5,0.6666666666666666,0.0,0.6666666666666666,3,8
metr_la,llama3.1:8b,5464,54,night,low,A,,1.0,0.625,0.7692307692307693,0.0,0.3333333333333333,2,8
metr_la,llama3.1:8b,5464,54,night,low,B,,0.0,0.0,0.0,1.0,0.4,1,8
metr_la,llama3.1:8b,5464,54,night,low,C,,1.0,0.875,0.9333333333333333,0.0,0.875,3,8
metr_la,llama3.1:8b,6643,51,night,low,A,,1.0,0.375,0.5454545454545454,0.0,0.8,3,8
metr_la,llama3.1:8b,6643,51,night,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,llama3.1:8b,6643,51,night,low,C,,1.0,0.375,0.5454545454545454,0.0,0.8333333333333334,2,8
metr_la,llama3.1:8b,1740,166,night,low,A,,1.0,0.375,0.5454545454545454,0.0,0.4,1,8
metr_la,llama3.1:8b,1740,166,night,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,llama3.1:8b,1740,166,night,low,C,,1.0,0.75,0.8571428571428571,0.0,0.25,4,8
metr_la,llama3.1:8b,5460,54,night,low,A,,1.0,0.5,0.6666666666666666,0.0,0.5,2,8
metr_la,llama3.1:8b,5460,54,night,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,llama3.1:8b,5460,54,night,low,C,,1.0,0.5,0.6666666666666666,0.0,1.0,3,8
metr_la,llama3.1:8b,6592,197,night,low,A,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
metr_la,llama3.1:8b,6592,197,night,low,B,,0.0,0.0,0.0,1.0,1.0,1,8
metr_la,llama3.1:8b,6592,197,night,low,C,,1.0,0.875,0.9333333333333333,0.0,0.5,3,8
metr_la,llama3.1:8b,3145,125,night,low,A,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
metr_la,llama3.1:8b,3145,125,night,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,llama3.1:8b,3145,125,night,low,C,,1.0,0.75,0.8571428571428571,0.0,0.6,2,8
metr_la,llama3.1:8b,5479,16,night,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
metr_la,llama3.1:8b,5479,16,night,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,llama3.1:8b,5479,16,night,medium,C,,1.0,0.75,0.8571428571428571,0.0,1.0,2,8
metr_la,llama3.1:8b,6058,196,night,medium,A,,1.0,0.375,0.5454545454545454,0.0,0.6,2,8
metr_la,llama3.1:8b,6058,196,night,medium,B,,1.0,0.125,0.2222222222222222,0.0,0.0,1,8
metr_la,llama3.1:8b,6058,196,night,medium,C,,1.0,0.375,0.5454545454545454,0.0,0.8333333333333334,3,8
metr_la,llama3.1:8b,6335,105,night,medium,A,,1.0,0.375,0.5454545454545454,0.0,1.0,2,8
metr_la,llama3.1:8b,6335,105,night,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,llama3.1:8b,6335,105,night,medium,C,,1.0,0.75,0.8571428571428571,0.0,0.2,4,8
metr_la,llama3.1:8b,6615,197,night,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.2857142857142857,2,8
metr_la,llama3.1:8b,6615,197,night,medium,B,,0.5,0.375,0.42857142857142855,0.5,0.0,2,8
metr_la,llama3.1:8b,6615,197,night,medium,C,,1.0,0.75,0.8571428571428571,0.0,0.6666666666666666,2,8
metr_la,llama3.1:8b,6316,77,night,medium,A,,1.0,0.375,0.5454545454545454,0.0,0.8,2,8
metr_la,llama3.1:8b,6316,77,night,medium,B,,0.5,0.125,0.2,0.5,,2,8
metr_la,llama3.1:8b,6316,77,night,medium,C,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
metr_la,llama3.1:8b,1154,197,night,medium,A,,1.0,0.625,0.7692307692307693,0.0,0.5714285714285714,2,8
metr_la,llama3.1:8b,1154,197,night,medium,B,,0.0,0.0,0.0,1.0,1.0,1,8
metr_la,llama3.1:8b,1154,197,night,medium,C,,1.0,0.625,0.7692307692307693,0.0,1.0,2,8
metr_la,llama3.1:8b,3163,51,night,medium,A,,1.0,0.375,0.5454545454545454,0.0,0.5,1,8
metr_la,llama3.1:8b,3163,51,night,medium,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8
metr_la,llama3.1:8b,3163,51,night,medium,C,,1.0,0.875,0.9333333333333333,0.0,0.2,3,8
